1	 1:.112	 2:1	 3:.0207	 4:.472	 5:.481	 6:.167
1	 1:.0545	 2:0	 3:.0182	 4:.706	 5:.36	 6:.155
1	 1:.11	 2:1	 3:.0448	 4:.697	 5:.499	 6:.146
1	 1:.109	 2:1	 3:.0189	 4:.286	 5:.396	 6:.145
1	 1:.108	 2:0	 3:1	 4:.21	 5:.335	 6:.154
1	 1:.106	 2:0	 3:.0566	 4:.178	 5:.394	 6:.136
1	 1:.102	 2:0	 3:.0141	 4:.487	 5:.0942	 6:.14
1	 1:.102	 2:0	 3:.108	 4:.388	 5:.249	 6:.138
1	 1:.102	 2:0	 3:.0184	 4:0	 5:.331	 6:.2
1	 1:.0991	 2:1	 3:.0318	 4:.461	 5:.183	 6:.174
1	 1:.101	 2:0	 3:.0273	 4:.574	 5:.29	 6:.165
1	 1:.163	 2:0	 3:.0216	 4:.178	 5:.282	 6:.196
1	 1:.1	 2:1	 3:.0246	 4:.554	 5:.279	 6:.177
1	 1:.0984	 2:0	 3:.0868	 4:.738	 5:.234	 6:.159
1	 1:.0962	 2:1	 3:.0115	 4:1	 5:.297	 6:.132
1	 1:.0949	 2:0	 3:.0207	 4:.44	 5:.263	 6:.109
1	 1:.0949	 2:0	 3:.00734	 4:.286	 5:.323	 6:.13
1	 1:.0942	 2:1	 3:.033	 4:.528	 5:.306	 6:.13
1	 1:.0944	 2:1	 3:.00933	 4:.708	 5:.461	 6:.123
1	 1:.118	 2:0	 3:.108	 4:.866	 5:.349	 6:.118
1	 1:.0934	 2:0	 3:.0956	 4:.178	 5:.214	 6:.132
1	 1:.0913	 2:0	 3:.0631	 4:.414	 5:.301	 6:.125
1	 1:.0893	 2:0	 3:.0386	 4:.44	 5:.357	 6:.206
1	 1:.074	 2:0	 3:.0453	 4:.501	 5:.327	 6:.142
1	 1:.0879	 2:1	 3:.0202	 4:.679	 5:.472	 6:.0929
1	 1:.0859	 2:0	 3:.0286	 4:.178	 5:.315	 6:.104
1	 1:.0841	 2:0	 3:.151	 4:.178	 5:.323	 6:.115
1	 1:.0815	 2:0	 3:.0197	 4:.178	 5:.253	 6:.171
1	 1:.08	 2:0	 3:.0145	 4:.519	 5:.353	 6:.0993
1	 1:.0797	 2:1	 3:.0379	 4:.519	 5:.428	 6:.191
1	 1:.079	 2:0	 3:.0189	 4:.178	 5:.272	 6:.0939
